Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL12-Height,FL12-Area,FL12-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
G 3,1371641060,1,1446652,1590711,1191182336,103510227,304600608,352321536,691920232,663135408,301989888,87550800,85560851,293601280,18104430,18840466,343932928,473038847,
G 4,1408170497,1,2181410,4352325,125829119,2113002144,266849234,394264576,645826698,599952660,293601280,59388566,56436140,301989888,13664376,11188492,234881024,474087423,
G 5,1446753132,1,431728,368326,411041792,153927017,191886352,268435456,751940374,662862131,268435456,58631364,62937397,343932928,40429068,35949086,276824064,475135999,
G 6,1482662035,1,1110552,858728,419430400,1860656520,126700685,427819008,489713326,437227931,276824064,46351656,48584308,327155712,11348480,13578507,394264576,476184575,
G 7,1519757182,1,931404,1312069,1367343104,156653105,339063525,360710144,821295226,730997783,276824064,38947430,42909721,369098752,17976798,16387608,268435456,477233151,
G 8,1557436641,1,1871816,1370634,662700032,1649531078,2089490782,427819008,566935320,488053913,276824064,52188838,52616154,318767104,26507582,25787702,310378496,478281727,
G 9,1597794993,1,839398,614026,444596224,1329061510,1920029183,494927872,628439992,563865640,276824064,64495856,67030728,335544320,28622322,26454830,301989888,479330303,
G 10,1636246291,1,1352136,1581520,1325400064,1679804966,2137149551,444596224,902016528,843437728,293601280,47669812,57498129,377487360,12837828,13156565,360710144,480378879,
G 11,1674123088,1,957368,1383681,662700032,1588095674,1997673263,444596224,502587232,439640878,276824064,76101120,72699592,293601280,20775232,18997686,285212672,481427455,
G 12,1711477993,1,1601268,1267756,411041792,1738747688,2062132535,419430400,721031006,631977712,276824064,66392764,72765974,352321536,23222734,24799142,369098752,482476031,
G 13,1748957898,1,970808,1181900,486539264,1512073366,1901955229,452984832,492469384,433607707,276824064,42834230,42953334,318767104,21517012,19526446,276824064,483524607,
G 14,1785291238,1,658790,369902,343932928,1206320366,1488820762,335544320,454495760,412684777,276824064,58402584,64006633,343932928,26509734,25473143,285212672,484573183,
G 15,1824492715,1,617302,830577,973078528,1757176350,2068883317,385875968,505699140,483792252,293601280,76417716,80909167,343932928,23389060,23426992,335544320,485621759,
G 16,1866231319,1,526860,317630,377487360,1693074508,2066829538,503316480,711284402,702264666,310378496,73182858,71490862,293601280,28922430,26347451,268435456,486670335,
G 17,1904659391,1,472910,509802,503316480,340487619,68806231,234881024,577085988,521372178,276824064,75904974,81197272,327155712,22917484,21122570,268435456,487718911,
G 18,1946009112,1,1010774,1079978,369098752,1439961864,1723603701,411041792,508502704,460269070,276824064,60981136,59786017,310378496,18022740,16494825,285212672,488767487,
G 19,1986267865,1,1073736,976573,293601280,1892365364,12881537,394264576,750563674,653804230,268435456,58013818,60142856,335544320,33239530,30919652,268435456,489816063,
G 20,2023067740,1,981752,2728187,343932927,1863450742,2111164769,377487360,475762610,425288232,276824064,65661128,66443881,318767104,20310502,21663447,343932928,490864639,
G 21,2061716974,1,852876,734131,419430400,2108234092,164063941,360710144,571952716,492097565,268435456,64664704,67038137,343932928,25940828,23835169,285212672,491913215,
G 22,2098319679,1,845332,1132572,1199570944,1470902988,2029261242,461373440,406913538,367834673,285212672,54101354,59145640,343932928,21919358,21183516,301989888,492961791,
G 23,2725091,1,855662,432715,167772160,444644883,490422999,310378496,812077110,708046498,268435456,70032516,70009645,301989888,24192016,24274541,318767104,494010367,
G 24,40009951,1,1184138,2325993,1761607680,1902497364,15673087,385875968,453426374,416376162,285212672,55501594,58389650,327155712,18647264,18401604,318767104,495058943,
H 24,72956836,1,1217640,2177366,1459617792,1585906132,2075768372,469762048,543035262,503996774,293601280,78606898,80651625,327155712,12627666,13215219,318767104,562167807,
H 23,115578370,1,1380524,2188647,998244352,1786466168,2045729806,385875968,495432404,449010224,285212672,68410606,64436458,301989888,23384628,22942257,301989888,561119231,
H 22,154151070,1,1688448,1539955,436207616,1858171670,188074722,419430400,966434800,819336312,260046848,61887596,60810580,310378496,30966028,29809312,293601280,560070655,
H 21,191665996,1,973992,1954584,1191182336,1316641544,1713295024,427819008,875257794,841398082,301989888,91704990,98158741,327155712,33939406,43713327,436207616,559022079,
H 20,227835999,1,1172288,2135231,1753219072,1753335448,2060433878,411041792,580811902,516886945,276824064,74709990,80143719,335544320,31820126,30925143,301989888,557973503,
H 19,266842980,1,1002304,2115865,1593835520,46303785,187421309,335544320,620573784,548804974,276824064,60529908,62418113,327155712,18304434,21496625,385875968,556924927,
H 18,314197937,1,210174,125438,360710144,114846371,241171972,335544320,648305622,574760595,268435456,66654040,64466900,285212672,8502942,9194800,377487360,555876351,
H 17,353562366,1,179984,129890,411041792,2102990218,128822062,352321536,497569876,451665797,285212672,52090346,55148606,327155712,21393654,22588234,352321536,554827775,
H 16,390657042,1,1589248,1718784,1249902592,1978276412,66955143,369098752,691154368,584827857,268435456,67499366,67832909,318767104,27127022,27626909,318767104,553779199,
H 15,427098308,1,328792,230265,268435456,1687167030,2092511937,427819008,544638008,484479966,276824064,63493050,63860875,327155712,20015916,19138576,310378496,552730623,
H 14,463249425,1,2065498,2011620,562036736,1978882054,112468236,385875968,691400990,632984795,285212672,49299246,53985410,369098752,9041062,8900643,310378496,551682047,
H 13,500971089,1,886412,912675,570425344,1795568526,2012800743,377487360,546931662,483108051,268435456,65921682,67731332,318767104,20645274,21828942,310378496,550633471,
H 12,538554637,1,799458,1556710,905969664,1765633502,2113321331,411041792,714711334,624278329,268435456,49573546,49897426,310378496,31545144,30407278,293601280,549584895,
H 11,577210381,1,1741766,1993986,897581056,1933178222,21888076,369098752,614897668,544810884,268435456,69028254,69416542,327155712,24179860,29245823,394264576,548536319,
H 10,616207138,1,818010,439915,142606336,5474657,161232923,343932928,431435874,393579659,285212672,79288542,78263058,318767104,27117548,28439582,343932928,547487743,
H 9,652879198,1,794596,708327,704643072,1384134886,1692097058,419430400,498957072,440319888,268435456,53644260,56404890,335544320,26614122,25323358,310378496,546439167,
H 8,693377005,1,1308760,3088643,75497471,1845506134,127199453,436207616,663839814,610509613,293601280,89148312,93001293,318767104,31139052,26465587,251658240,545390591,
H 7,733232301,1,1032360,2008899,1610612736,564189933,526257093,276824064,795436072,703254643,285212672,44150034,47772899,343932928,10428518,8311891,251658240,544342015,
H 6,771456797,1,1093364,2214484,1090519040,1674320904,2068750606,436207616,665504178,570510022,268435456,47037230,48223056,318767104,35656844,35086133,335544320,543293439,
H 5,813691234,1,822216,1494749,1686110208,141290303,287984689,260046848,633003180,572081752,276824064,53885198,57212769,352321536,35929964,35973117,318767104,542244863,
H 4,850757718,1,1370116,1455288,637534208,1828888856,2030473286,360710144,524645774,460090877,268435456,57771060,55497488,301989888,24476806,24521749,293601280,541196287,
H 3,888262216,1,622802,2075430,50331647,1964526724,155940236,402653184,521197404,463533053,276824064,58586908,65803999,343932928,37186114,40030726,369098752,540147711,
H 2,925038722,1,672676,1124392,1258291200,1685447860,2124849665,419430400,498631904,434735327,268435456,58184478,64304140,360710144,21877920,21450632,318767104,539099135,
H 1,962934652,1,905452,1433401,973078528,184810115,278622850,268435456,856932540,757430752,276824064,86528574,86976117,318767104,29006986,32748496,360710144,538050559,
I 1,1005322468,1,821898,873318,1048576000,2025448072,145774341,394264576,584005070,541835547,285212672,77730378,77283387,301989888,18601910,18370158,310378496,605159423,
I 2,1041331268,1,978132,1782348,1719664640,102361717,247405443,343932928,566042766,492591908,268435456,48422454,49872168,327155712,16226246,16324114,318767104,606207999,
I 3,1078747137,1,573734,414474,268435456,2114053318,178977245,369098752,633787786,550347245,268435456,64931532,64178125,310378496,22546664,21487829,301989888,607256575,
I 4,1116507923,1,877812,1428703,1015021568,1650898958,2059058596,419430400,481412128,451806280,293601280,47478550,53367483,360710144,17323740,17411171,318767104,608305151,
I 5,1154916104,1,831768,1260555,905969664,1471882714,2044529183,486539264,583911380,564596033,301989888,83398982,88859352,335544320,17962218,16064656,268435456,609353727,
I 6,1192338923,1,1173334,2238225,1367343104,179165191,240114224,243269632,641442854,592228708,285212672,71435700,72311901,335544320,16618778,19544517,411041792,610402303,
I 7,1230826714,1,1511528,1291629,704643072,408667853,315331094,251658240,641096428,556208949,276824064,59475918,60474566,318767104,20366494,17459315,260046848,611450879,
I 8,1267380372,1,901122,1657661,1786773504,1128552880,1332498084,419430400,744192784,621593610,260046848,72082448,65474345,285212672,23770040,20522414,268435456,612499455,
I 9,1315887395,1,738424,844574,713031680,2147301150,100051789,276824064,551877056,514049839,293601280,41886998,48260216,369098752,23260970,23670000,318767104,613548031,
I 10,1354446357,1,508016,692658,637534208,1828699188,58952575,436207616,680037532,685746584,327155712,124916584,144285187,394264576,10594040,11110032,318767104,614596607,
I 11,1391826975,1,988774,1887020,1258291200,1540300408,2042899496,444596224,818829080,725358631,276824064,66636958,69265442,335544320,11845954,12292825,318767104,615645183,
I 12,1430660640,1,1068300,2542319,58720255,1863877972,2060708591,276824064,593768430,549161096,293601280,54851832,63641751,377487360,35438662,39273604,369098752,616693759,
I 13,1468482738,1,694982,1308008,1375731712,1550225132,2138480923,494927872,697792218,644682035,293601280,75962648,87789520,369098752,16385812,17633390,352321536,617742335,
I 14,1514188403,1,875400,2440897,2038431744,1745473090,2133782366,427819008,518548906,477426966,285212672,61188126,62645750,318767104,16580882,17320056,343932928,618790911,
I 15,1551946811,1,1003484,1548265,1191182336,1954151412,242458188,411041792,691453662,609537493,268435456,55328754,55206051,318767104,28148112,26761349,293601280,619839487,
I 16,1604539014,1,963432,873939,947912704,43292159,143207633,276824064,711109880,634384196,276824064,69010984,67993430,318767104,27535418,28855433,327155712,620888063,
I 17,1642966789,1,838152,1036187,822083584,2112267036,236591201,394264576,707043996,626985720,276824064,70698674,72703838,327155712,23451954,21953283,268435456,621936639,
I 18,1682017290,1,833504,960177,536870912,1807958808,2086972029,402653184,735513960,654154308,276824064,88020056,92672843,335544320,25311648,26756431,352321536,622985215,
I 19,1718850788,1,5490216,8013633,436207616,328861317,1621320667,872415232,2016785212,569789921,369098752,62392436,77447817,679477248,30423056,32640259,285212672,624033791,
I 20,1754536616,1,1804116,1934987,654311424,1672998634,2155918,444596224,672342100,589378224,276824064,90275686,87974731,293601280,38737924,37504603,310378496,625082367,
I 21,1791894625,1,1677528,3081882,209715199,1792068664,42865322,419430400,748681098,657817676,276824064,63368132,63546372,310378496,23874988,23972660,310378496,626130943,
I 22,1828243716,1,2059844,2107454,931135488,242999433,315371295,318767104,594119528,519837840,268435456,47701976,50026579,343932928,14895356,15554707,318767104,627179519,
I 23,1865393848,1,1586562,2351886,1266679808,1527944182,1973046313,452984832,566560352,538871506,293601280,60081872,72010543,394264576,24066610,25220178,318767104,628228095,
I 24,1905546299,1,1824922,1944697,620756992,1667713704,1990370550,419430400,511632706,459018271,276824064,65591140,68942646,352321536,30469236,29989132,318767104,629276671,
J 24,1937919191,1,1002004,456093,150994944,1791811172,2117536023,411041792,571489744,523765410,285212672,47794596,52250228,352321536,22793552,21789598,301989888,696385535,
J 23,1974362344,1,990246,1895689,2130706432,2081186430,80290645,318767104,686120588,645412456,293601280,50852628,52778572,327155712,11652328,11159525,335544320,695336959,
J 22,2013791214,1,827214,1289293,1023410176,34564175,133548853,268435456,522496426,473774239,276824064,73722568,84105701,369098752,24665514,22965287,318767104,694288383,
J 21,2052327772,1,757970,1040101,855638016,1397493396,1932497678,520093696,511860856,443772980,268435456,61290388,63720247,318767104,21694126,21743588,310378496,693239807,
J 20,2101931686,1,1075294,2657948,1962934272,1421513568,1844208837,545259520,406641022,402156266,318767104,66636186,68404829,310378496,29736150,25640072,276824064,692191231,
J 19,2138249515,1,1502004,2950082,125829119,1993211256,128257317,385875968,526042966,490311802,293601280,72097868,75331212,327155712,26409926,24732017,318767104,691142655,
J 18,27669474,2,1140686,1886853,1652555776,1656465856,2012802204,427819008,667874202,589460678,276824064,51065376,50973162,301989888,23008918,22908528,310378496,690094079,
J 17,72573496,2,872338,675300,763363328,1472270628,1896952171,452984832,568398966,517003314,285212672,61267484,62684613,343932928,19183090,22507252,377487360,689045503,
J 16,109160796,2,1074056,2085348,1375731712,2066594896,147231449,377487360,588012452,520763456,276824064,63955666,69418720,352321536,24509088,27093127,369098752,687996927,
J 15,145230047,2,1085674,1643559,738197504,303200815,445432752,352321536,1179829438,1043021322,276824064,74668652,72420358,310378496,22555818,25869010,369098752,686948351,
J 14,182327399,2,672102,283062,134217728,1364032174,1973282521,494927872,351406830,325993533,293601280,59035872,61225739,335544320,23733280,25524948,369098752,685899775,
J 13,224819352,2,1040498,1681668,1149239296,80348625,197765504,318767104,584452478,520803131,276824064,40368308,47688878,394264576,13097792,16020320,369098752,684851199,
J 12,270402637,2,913824,1048091,545259520,1897953328,49141649,402653184,521979444,480644889,285212672,67990900,69687522,327155712,23642604,24218415,343932928,683802623,
J 11,310980695,2,975160,643807,226492416,1682706916,2081092793,444596224,562008482,491243186,276824064,69942822,70625614,318767104,60143142,56401627,285212672,682754047,
J 10,352259069,2,691738,1188096,1140850688,40275565,100678472,268435456,571069752,496921104,268435456,48127498,48410058,310378496,17516932,19740567,369098752,681705471,
J 9,389016084,2,1274842,1891150,1115684864,19737623,2133411701,268435456,501926084,464251971,285212672,68671574,72391816,335544320,23476038,24019023,318767104,680656895,
J 8,426116042,2,510108,464370,620756992,1673694970,2070735063,427819008,504221060,434246596,268435456,42998946,46723026,343932928,28628412,28419148,318767104,679608319,
J 7,466233199,2,1232352,2059767,1174405120,24088627,2143013324,260046848,556156968,503758455,276824064,65088688,69192363,335544320,29553488,30816481,352321536,678559743,
J 6,501978103,2,1541880,1662384,528482304,682599169,518333613,260046848,947407932,825576401,276824064,44756214,46799387,335544320,16748502,19330436,360710144,677511167,
J 5,540352319,2,923778,1331024,553648128,335598701,882286013,1207959552,848825568,1173981667,276824064,69844150,131001781,511705088,32916116,51323596,603979776,676462591,
J 4,577777763,2,1305830,1994664,964689920,2009381032,147504746,385875968,401069488,364392590,285212672,57203032,53162029,285212672,37191512,32348738,260046848,675414015,
J 3,613585317,2,2614966,3139032,1484783616,876843576,1067795618,377487360,580425508,533125682,285212672,46040248,54897912,385875968,18365928,26083442,486539264,674365439,
J 2,654299964,2,1036104,969771,369098752,2088573072,2129474905,310378496,549681642,453334023,251658240,42637562,43756668,327155712,18918890,18029874,293601280,673316863,
J 1,692268890,2,1678720,1083078,218103808,1995042526,78139997,369098752,594437790,543046925,285212672,60140248,71974527,385875968,20956782,20502440,327155712,672268287,
K 1,725883156,2,736180,1147734,1644167168,1973086210,17330757,360710144,723612600,641990991,276824064,83055660,89760341,335544320,23013930,22769777,301989888,739377151,
K 2,773094508,2,1419438,865663,176160768,1743677396,120261531,444596224,562444658,481624322,260046848,52068298,54414444,327155712,22367334,22549777,335544320,740425727,
K 3,811160622,2,1272624,2030916,1241513984,2002894782,121074873,385875968,532813484,469220154,276824064,76520120,77742235,327155712,49840742,41589031,268435456,741474303,
K 4,848403007,2,1718610,1715244,1115684864,1436143670,1978503968,486539264,536801448,489662031,285212672,69063330,72349752,335544320,16006324,17572241,369098752,742522879,
K 5,886007131,2,1129904,1747135,1073741824,1571360702,1966835099,436207616,606693726,510499327,251658240,58935828,63932265,335544320,32173428,34766090,352321536,743571455,
K 6,923017364,2,606234,428753,612368384,13335611,152475124,343932928,540476488,477305512,276824064,60759610,59975776,310378496,29283918,28226823,301989888,744620031,
K 7,967399134,2,1166924,1249045,771751936,1680900298,61286584,436207616,425527688,375677951,276824064,48561336,51564750,335544320,20823916,18911868,293601280,745668607,
K 8,1010725120,2,1503960,2195609,1560281088,208717751,271804047,276824064,680285590,609484654,276824064,72689514,79206504,352321536,46426418,46189080,327155712,746717183,
K 9,1056232962,2,2480236,2855896,1090519040,1876163796,28621199,385875968,558161054,511484422,285212672,62951864,61074574,293601280,18456254,20468746,360710144,747765759,
K 10,1093440205,2,490490,530892,788529152,70949373,72819826,234881024,1175095820,995427057,268435456,81252410,73821823,276824064,40234150,32786383,260046848,748814335,
K 11,1131363289,2,981038,2527633,276824063,1333766102,1481126401,285212672,466907624,509974974,343932928,54791102,63123231,360710144,17301694,16829446,301989888,749862911,
K 12,1172092399,2,1701718,1825023,872415232,267190559,411599284,343932928,923939922,786950513,260046848,50809050,51797807,335544320,10715290,9219881,268435456,750911487,
K 13,1209719387,2,1573162,1282369,226492416,1509961236,1949005965,452984832,732756954,637072925,268435456,57485380,62724532,352321536,23242970,23766887,318767104,751960063,
K 14,1247710759,2,1679914,2439152,2130706432,2064258228,12387536,276824064,382447422,344821011,285212672,61714836,62793451,318767104,23127286,22027960,310378496,753008639,
K 15,1290124717,2,2017760,2982947,1132462080,411041063,308615103,251658240,560329314,480896996,268435456,70266056,73233773,327155712,34853820,31362386,268435456,754057215,
K 16,1329074781,2,535128,789826,1166016512,1964174256,11185440,352321536,612620716,519153958,260046848,71550276,67737997,293601280,30847900,30544778,310378496,755105791,
K 17,1371650988,2,984308,2215289,1669332992,8319097,205381921,360710144,717653826,625349181,276824064,58343274,56283915,293601280,36048958,34476816,301989888,756154367,
K 18,1410919750,2,1094940,2269228,2139095040,1900528448,73329401,427819008,730982288,678802025,285212672,73761130,73086752,310378496,8268814,7757544,301989888,757202943,
K 19,1448702294,2,1145236,1469063,754974720,1609556748,2052548364,469762048,562205972,543392081,301989888,74563790,77869322,327155712,29698190,27221880,285212672,758251519,
K 20,1485234530,2,1408708,1276610,654311424,670624547,652497781,251658240,834316584,706137795,260046848,50662704,51147844,310378496,22254978,22347093,318767104,759300095,
K 21,1524900717,2,937568,1123336,1115684864,2127148102,70146553,310378496,427158798,377925217,276824064,85293558,77002076,268435456,33055500,33645486,327155712,760348671,
K 22,1566506107,2,840626,1832585,1602224128,1577718726,29290395,469762048,677300970,600539378,276824064,59801040,64430100,352321536,19056918,19028196,310378496,761397247,
K 23,1603631246,2,1095832,2010849,1325400064,1927583988,2107661895,260046848,610624368,557739345,285212672,75620776,81475681,343932928,20885200,22781130,352321536,762445823,
K 24,1640868674,2,824790,1515102,1602224128,1472426518,2012418533,461373440,642640902,562550200,268435456,74935386,78342156,343932928,44639358,37507797,251658240,763494399,
L 24,1676557536,2,939034,496943,411041792,52194827,192463855,343932928,499855014,440618167,268435456,63055480,64272646,318767104,19435208,20976562,343932928,830603263,
L 23,1716770529,2,903102,518756,159383552,1638917462,2011364660,436207616,496321744,430837833,268435456,52809802,57499661,352321536,29080354,29133209,318767104,829554687,
L 22,1761483085,2,1046432,1748797,1258291200,2039581348,95271935,352321536,670103796,566683311,268435456,71256466,80824349,369098752,29469620,33017350,369098752,828506111,
L 21,1797631893,2,1459756,1377172,738197504,1606371938,2118885241,444596224,539945586,459779466,260046848,73734062,73272784,327155712,18851080,19248423,310378496,827457535,
L 20,1835962042,2,2190694,1802783,285212672,2058817918,87441684,343932928,613512440,530269933,268435456,51577216,52880396,318767104,15261642,13896587,293601280,826408959,
L 19,1873366614,2,1310912,1895508,729808896,1916858726,2130829657,285212672,571615100,523991352,285212672,65417608,70253759,335544320,14096442,17288541,427819008,825360383,
L 18,1910241690,2,525562,686936,1149239296,2137914708,212870324,369098752,555063164,497585965,276824064,69196988,71758274,335544320,33812044,31366194,285212672,824311807,
L 17,1951352623,2,890974,778650,243269632,1865950950,2139488039,402653184,641917854,564072207,276824064,75841100,78431802,327155712,31027906,27745210,268435456,823263231,
L 16,1988210760,2,943816,2148907,2071986176,1565344664,2085036777,444596224,351383936,331268722,293601280,78156922,75109212,285212672,23733606,23268122,301989888,822214655,
L 15,2025704187,2,878406,1182773,1367343104,101984837,89360505,268435456,1148685088,1008140649,276824064,53733546,47824082,276824064,19951454,20048601,318767104,821166079,
L 14,2077526347,2,910166,2719045,335544319,1783199872,86795020,461373440,777725812,757459644,310378496,89344092,98559374,352321536,24494674,25670777,318767104,820117503,
L 13,2114779890,2,1020386,1469465,1207959552,1957958396,1995296183,276824064,605153746,561382710,293601280,51729474,52758052,327155712,14623954,17438656,385875968,819068927,
L 12,11588215,2,625200,258769,142606336,224924821,157116492,234881024,543305382,473311732,268435456,67304954,71621042,335544320,19186648,21999193,377487360,818020351,
L 11,53268847,2,571400,456673,234881024,8528399,197458654,360710144,582210366,506977702,276824064,67689746,64286841,293601280,16939610,17338969,318767104,816971775,
L 10,89887908,2,1188148,878736,469762048,186311635,246773100,243269632,566559934,520778313,285212672,49373136,57212370,385875968,34292048,32926111,301989888,815923199,
L 9,127082705,2,1046196,1659372,1166016512,2092344002,11352560,243269632,765226804,686461330,285212672,73811912,72867272,318767104,23358504,18701508,251658240,814874623,
L 8,163413216,2,893782,2541316,1971322880,356076887,327727461,268435456,467013692,403602914,268435456,64241934,56022457,260046848,24063494,24228255,318767104,813826047,
L 7,201249880,2,282918,197745,310378496,2055033094,159508659,377487360,518272610,467519404,276824064,62140546,65147683,335544320,22591108,24001197,360710144,812777471,
L 6,238388430,2,1257210,1862417,1769996288,1767011050,2027310691,411041792,432808066,403709542,285212672,63091350,63087679,301989888,32794824,35599025,335544320,811728895,
L 5,275557267,2,1201786,1195816,419430400,1973256806,48600234,327155712,544360936,493938202,285212672,44243020,55050212,385875968,17888196,17199989,327155712,810680319,
L 4,320951045,2,680638,852600,1325400064,1771606808,2053274119,369098752,652619504,587387553,276824064,80186000,92040307,377487360,17224466,13100259,218103808,809631743,
L 3,358505300,2,929272,1552230,1736441856,1466052986,2088896183,478150656,546721584,490755934,276824064,77998330,78937338,318767104,31704490,27992810,276824064,808583167,
L 2,401149280,2,812170,1468726,981467136,1603307310,2008055081,444596224,545039142,491730235,276824064,74103114,77741729,335544320,26943972,23443101,260046848,807534591,
L 1,438673216,2,1048642,1592822,1015021568,1590314998,1958244761,444596224,691541104,641815080,285212672,77342746,80140756,335544320,21599552,19139579,285212672,806486015,
M 1,472440840,2,797238,689184,813694976,2083974978,140214399,369098752,685131860,576933993,260046848,73960836,76358052,327155712,28516790,31215769,369098752,873594879,
M 2,523828261,2,1320962,2720470,1820327936,1933294900,119782160,402653184,538875260,479029945,276824064,73805130,78548637,352321536,37521916,35682015,310378496,874643455,
M 3,560730935,2,1501806,1747256,1098907648,46774281,173466054,335544320,592461276,509948702,268435456,58029694,57965607,318767104,23728620,21623361,285212672,875692031,
M 4,601287782,2,1546486,1263705,260046848,404850271,364145582,260046848,700218206,612986986,268435456,59596318,57821215,310378496,18087322,16764291,268435456,876740607,
M 5,638036569,2,1253952,1934763,1853882368,402830113,390606858,251658240,927917564,845377968,285212672,69006888,64492567,293601280,15885638,14932735,301989888,877789183,
M 6,675962094,2,1100318,2039483,1652555776,270871347,236999652,260046848,726957308,619319061,268435456,62459470,62330352,310378496,18544910,16117078,260046848,878837759,
M 7,720979289,2,1823638,2266791,1224736768,1357437480,1586893713,402653184,548521136,472255944,260046848,60114470,64190213,343932928,25109000,21455618,234881024,879886335,
M 8,757650740,2,626806,698732,436207616,1898529332,3172173,402653184,484179040,450033117,293601280,41278542,49919188,377487360,27269240,26044829,318767104,880934911,
M 9,795778553,2,421730,348903,394264576,1760751642,1995662750,369098752,605023428,513759080,260046848,62749028,62240804,310378496,29069032,27889358,301989888,881983487,
M 10,840266244,2,1085736,1908294,914358272,1927569936,40339309,385875968,591369022,524069735,276824064,76065660,79501569,327155712,18549472,16733568,251658240,883032063,
M 11,878219388,2,1202368,1847454,905969664,240430859,77570712,251658240,558175686,504956088,276824064,49228804,46956589,285212672,31200856,28910930,285212672,884080639,
M 12,921040015,2,988336,938910,528482304,177095399,261044154,293601280,403776552,365250144,276824064,65459114,60791451,285212672,19054162,18771226,318767104,885129215,
M 13,958658541,2,1069166,1073102,813694976,1895280612,5785545,385875968,553192086,501391094,276824064,82169474,81672093,310378496,28131456,30952547,352321536,886177791,
M 14,1010529748,2,849192,1986635,1543503872,297722539,53360257,234881024,953784340,939862401,310378496,102279770,111279525,352321536,15251966,16715952,352321536,887226367,
M 15,1046840690,2,1340550,2184927,1367343104,2109276292,30610967,260046848,653807348,563199994,268435456,69364244,72160973,335544320,36533038,40346339,352321536,888274943,
M 16,1085043029,2,497200,331218,260046848,2100312084,50121456,293601280,388072884,353490811,285212672,77340474,76522740,301989888,21244158,21394282,310378496,889323519,
M 17,1124378724,2,731838,1289241,1434451968,81220563,250731156,352321536,508195476,464077323,285212672,63175096,64711258,318767104,16242004,16144151,318767104,890372095,
M 18,1165594939,2,873206,1217426,1317011456,70240835,14172286,260046848,435903306,390354330,276824064,70429190,68446377,301989888,27004862,28949393,343932928,891420671,
M 19,1203170347,2,1897850,1258555,394264576,1981657094,142873538,419430400,587733994,548455078,293601280,68697128,72934518,335544320,37826672,35586189,293601280,892469247,
M 20,1242950837,2,1575666,2630445,1837105152,1636868948,8444263,461373440,631237658,586917462,293601280,69921626,66281787,301989888,23348424,23379874,318767104,893517823,
M 21,1283215055,2,934404,1925049,1887436800,2006026182,95800302,369098752,460226810,420951196,285212672,59810516,66498812,360710144,21218470,24672661,394264576,894566399,
M 22,1322299373,2,1206528,2177499,1040187392,1488197796,2106994147,494927872,494649326,459403704,293601280,56765750,63091261,369098752,34062142,34142824,310378496,895614975,
M 23,1361833443,2,749806,796705,713031680,130751295,221428737,310378496,525572890,460992131,276824064,61196458,60551548,301989888,15154836,13914962,285212672,896663551,
M 24,1409455900,2,619974,350973,377487360,1685324954,1895996140,369098752,464204460,404651416,268435456,30235102,30558316,310378496,23095372,24703129,335544320,897712127,
N 24,1441997972,2,1268522,2855294,1409286144,1813965736,2126127506,402653184,587888028,572637680,310378496,98273340,107337772,343932928,17537424,20802428,377487360,964820991,
N 23,1479114126,2,738822,494160,394264576,2037616458,140166469,377487360,610619212,542458647,276824064,52766096,52329659,310378496,14970860,15101975,335544320,963772415,
N 22,1518147765,2,1110378,2018370,1149239296,132596527,92221107,243269632,537734718,482323590,276824064,52247566,61352663,377487360,24857290,28733513,394264576,962723839,
N 21,1558406342,2,1485398,2109702,1224736768,1869213134,8937424,385875968,407349602,377317039,285212672,38390062,45212155,394264576,13918468,14841578,327155712,961675263,
N 20,1597610216,2,918324,1237862,788529152,207307863,332786874,335544320,723827362,639763011,276824064,54653376,60379336,352321536,11449564,11910905,352321536,960626687,
N 19,1635001849,2,1102580,1197591,595591168,2079454676,173599052,377487360,586489200,522745170,276824064,55325848,56569812,327155712,8343918,7094592,260046848,959578111,
N 18,1672254245,2,1226710,1831814,1644167168,706966827,332329584,226492416,558862906,489490564,276824064,61252910,69511935,377487360,39537222,38381392,301989888,958529535,
N 17,1720782153,2,1178216,951439,629145600,77598703,124472056,251658240,686805296,604394312,276824064,60057372,60683520,327155712,25391716,25534103,318767104,957480959,
N 16,1756859818,2,511022,808633,1266679808,1985897022,192816523,402653184,625161054,522161812,260046848,57713362,53925726,293601280,25404020,28372651,369098752,956432383,
N 15,1796161997,2,1143628,1922556,1526726656,363504051,431071542,318767104,553877028,480895223,268435456,70729810,71114962,318767104,24129250,22979243,301989888,955383807,
N 14,1836040987,2,1164962,1056555,218103808,1717786032,1869664136,251658240,576647028,511661669,276824064,57244406,62948793,369098752,32466212,32385151,327155712,954335231,
N 13,1873433680,2,2869218,2649414,1577058304,4026415,561148262,444596224,746367978,905498510,394264576,69947482,73465896,327155712,13806664,13195310,285212672,953286655,
N 12,1923384914,2,1251318,1211283,612368384,86532867,170461196,243269632,1009409130,869987368,276824064,56875760,66561415,369098752,29925922,26785957,285212672,952238079,
N 11,1966629999,2,1174694,1115065,805306368,121014061,177905530,234881024,1238359654,1079435999,268435456,77523232,72677315,285212672,18517864,17353510,285212672,951189503,
N 10,2007475725,2,958994,1690462,1224736768,1525022422,31825234,486539264,548983956,496177808,276824064,75045242,75331554,318767104,28510488,29060733,335544320,950140927,
