Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL12-Height,FL12-Area,FL12-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
A 24,910479479,0,1285318,1320394,687865856,1469022422,1842740093,419430400,507760840,465668593,285212672,68930294,70332570,310378496,32498256,31026210,318767104,92405759,
A 24,910528609,0,860040,1514865,1283457024,1783456530,2068180130,394264576,535901776,476617011,276824064,76509732,80874900,343932928,25422780,32339826,394264576,92405759,
A 24,911062377,0,1604278,2453405,1937768448,1565464068,1993050056,452984832,626766744,546537586,268435456,63444678,63286224,301989888,28081622,26643683,276824064,92405759,
A 24,913734821,0,1574214,2240809,520093696,1517192466,1900172949,419430400,674372220,648469808,301989888,49649888,53020218,335544320,20593134,23343944,343932928,92405759,
A 24,915371711,0,1512694,2996831,1702887424,2042251402,213464796,402653184,591386446,509293672,268435456,51960552,53159709,335544320,16122066,18177409,360710144,92405759,
A 24,917320657,0,1383696,2253965,1426063360,207755699,341970090,318767104,756750468,671617696,276824064,90179456,91051903,318767104,29213318,31108898,335544320,92405759,
A 24,917675055,0,1264732,2423532,2063597568,2121136668,165978310,352321536,713112774,617203158,268435456,58777464,63601595,335544320,22110256,24525900,369098752,92405759,
B 24,966253661,0,1247164,2152315,2113929216,1858985296,15472453,411041792,573402022,518231673,285212672,66692298,69388782,343932928,19943772,22125889,385875968,159514623,
B 23,1004185850,0,999786,958909,369098752,1665819574,1990891446,411041792,649267908,548802666,268435456,68393594,65135729,301989888,34949518,31023590,251658240,158466047,
B 22,1043147652,0,1022786,1822640,1325400064,1941828258,2083711283,276824064,492852712,460389761,293601280,58251576,62430698,352321536,30956942,32073972,327155712,157417471,
B 21,1080667712,0,2348880,4214740,218103807,101753101,285540199,369098752,562989840,492118795,268435456,91869894,91466855,310378496,14831894,14950905,327155712,156368895,
B 20,1117218633,0,756944,1249018,1593835520,1864692576,20466327,402653184,577739724,506944339,268435456,79328168,79564911,318767104,35501340,34670812,318767104,155320319,
B 19,1157638194,0,1211660,1261300,1006632960,145421223,232214524,327155712,726981468,610659101,260046848,57351296,57533227,310378496,21104384,21505260,327155712,154271743,
B 18,1193599059,0,1383294,1761941,1350565888,214301647,243209432,276824064,774605918,666342693,268435456,57808998,57675056,310378496,20726416,19505910,301989888,153223167,
B 17,1243961144,0,986470,919143,838860800,56550049,2047830482,243269632,519414610,491920302,293601280,54190646,64589179,377487360,17352870,14860837,268435456,152174591,
B 16,1280591577,0,1200276,863795,310378496,1656015772,2068209180,427819008,531845196,493240824,293601280,64131064,64322574,301989888,31805064,34009159,352321536,151126015,
B 15,1317191692,0,1308696,3126664,1904214016,211203287,305614893,268435456,643718318,562284237,268435456,84176300,89423255,352321536,17081498,18666326,570425344,150077439,
B 14,1354991467,0,576194,832250,713031680,2071384120,2125754956,260046848,617308802,552336580,276824064,48709362,56450910,377487360,19773642,22597628,394264576,149028863,
B 13,1392587436,0,1438162,2048022,1258291200,1618933352,2041467587,444596224,600549060,517408953,276824064,50874252,53814907,335544320,33516252,30223035,276824064,147980287,
B 12,1429763684,0,801478,881763,662700032,1996459418,2145585933,327155712,449987722,404870324,276824064,52737284,54199945,327155712,23786226,24646274,327155712,146931711,
B 11,1466290509,0,732986,493338,528482304,1546178724,1847196972,402653184,416470456,369408275,268435456,67970450,65542350,293601280,24965020,25354527,352321536,145883135,
B 10,1503075034,0,903312,1424019,998244352,1622022490,2122376785,444596224,833928432,826111477,310378496,71811432,75109795,343932928,9384350,8463540,276824064,144834559,
B 9,1540471057,0,1242838,2835952,343932927,182922629,369256306,352321536,631526256,545868674,268435456,64330184,63310179,293601280,14851722,16033829,553648128,143785983,
B 8,1577794499,0,612988,900629,763363328,1495430660,2085534461,494927872,559222422,506073733,285212672,69323898,68436505,301989888,13747568,13389238,310378496,142737407,
B 7,1615596786,0,767454,824097,553648128,164708981,192768378,251658240,608155000,551134254,276824064,66591944,74386111,352321536,19839906,19651560,318767104,141688831,
B 6,1656341566,0,1160212,2306388,184549375,1610249120,1918547739,411041792,515056324,467453586,285212672,49123966,54916401,369098752,30280634,31236215,343932928,140640255,
B 5,1694028279,0,1985014,1919491,654311424,1573383260,1890508483,402653184,541708636,475344011,276824064,55326984,61249943,352321536,20634286,21417682,352321536,139591679,
B 4,1745354349,0,1832636,3635815,159383551,1988060726,124926463,385875968,614088932,558616737,285212672,46609292,47278196,327155712,17307492,14744785,260046848,138543103,
B 3,1782262673,0,1061274,2525741,1719664640,1485567986,1938773944,536870912,617780964,543722866,276824064,60830856,60786190,318767104,23554888,22574680,310378496,137494527,
B 2,1819537384,0,1391412,777157,167772160,244123337,104135165,234881024,559688102,519740922,293601280,65753632,71538388,343932928,24109556,24017135,310378496,136445951,
